WORKSHEET,CATEGORY,SUBCATEGORY,DATA_TYPE,96_FIELD_NAME,10_FIELD_NAME,FIELD DESCRIPTION ,WKSHT CD,LINE,COLUMN
,HOSPITAL IDENTIFICATION INFORMATION,,ID,RPT_REC_NUM,RPT_REC_NUM,Report Record Number,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,PRVDR_NUM,PRVDR_NUM,Hospital Provider Number ,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,FI_NUM,FI_NUM,Fiscal Intermediary Number,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,RPT_STUS_CD,RPT_STUS_CD,Report Status Code,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,FI_CREAT_DT,FI_CREAT_DT,Fiscal Intermediary/MAC Create Date,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,FY_BGN_DT,FY_BGN_DT,Fiscal Year Begin Date ,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,FY_END_DT,FY_END_DT,Fiscal Year End Date ,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,UTIL_CODE,UTIL_CODE,Utilization Code (L/N/F),,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,TRNSMTL_NUM,TRNSMTL_NUM,NOT IN THIS FILE,,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,MSA,MSA,Geographic MSA,From MSABEA file,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,ST_CTY_CD,ST_CTY_CD,SSA State County Code,From OSCAR,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,STATE,STATE,SSA State Code,From OSCAR,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,CENSUS,CENSUS,Census Division Code,From OSCAR,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,REGION,REGION,CMS Region Code,From OSCAR,,
,HOSPITAL IDENTIFICATION INFORMATION,,ID,SUB3,SUB3,Subprovider III Indicator,SAS CODE,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_1,S2_1_C1_1,Hospital Street Address,S200001,00100,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1,S2_1_C2_1,Hospital PO Box,S200001,00100,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_101,S2_1_C1_2,Hospital City,S200001,00200,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_101,S2_1_C2_2,Hospital State,S200001,00200,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C3_101,S2_1_C3_2,Hospital Zip Code,S200001,00200,00300
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C4_101,S2_1_C4_2,Hospital County,S200001,00200,00400
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,,S2_1_C4_3,Hospital Type,S200001,00300,00400
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_2 ,S2_1_C1_3,Hospital Name ,S200001,00300,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,not on old form,S2_1_C1_4,IPF Provider Number,S200001,00400,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,not on old form,S2_1_C1_5,IRF Provider Number,S200001,00500,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,not on old form,S2_1_C2_4,IPF Provider Number,S200001,00400,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,not on old form,S2_1_C2_5,IRF Provider Number,S200001,00500,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_3,S2_1_C2_6,Subprovider 1 Provider Number,S200001,00600,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_301,S2_1_C2_601,Subprovider 2 Provider Number,S200001,00601,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_4,S2_1_C2_7,Swing Bed SNF Provider Number,S200001,00700,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_5,S2_1_C2_8,Swing Bed NF Provider Number,S200001,00800,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_6,S2_1_C2_9,SNF Provider Number,S200001,00900,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_7,S2_1_C2_10,NF Provider Number,S200001,01000,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_701,S2_1_C2_1001,ICF Provider Number,S200001,01001,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_9,S2_1_C2_12,HHA 1 Provider Number,S200001,01200,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_901,S2_1_C2_1201,HHA 2 Provider Number,S200001,01201,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_902,S2_1_C2_1202,HHA 3 Provider Number,S200001,01202,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_903,S2_1_C2_1203,HHA 4 Provider Number,S200001,01203,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_904,S2_1_C2_1204,HHA 5 Provider Number,S200001,01204,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_905,S2_1_C2_1205,HHA 6 Provider Number,S200001,01205,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_906,S2_1_C2_1206,HHA 7 Provider Number,S200001,01206,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_907,S2_1_C2_1207,HHA 8 Provider Number,S200001,01207,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_908,S2_1_C2_1208,HHA 9 Provider Number,S200001,01208,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_909,S2_1_C2_1209,HHA 10 Provider Number,S200001,01209,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_11,S2_1_C2_13,ASC 1 Provider Number,S200001,01300,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1101,S2_1_C2_1301,ASC 2 Provider Number,S200001,01301,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1102,S2_1_C2_1302,ASC 3 Provider Number,S200001,01302,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1103,S2_1_C2_1303,ASC 4 Provider Number,S200001,01303,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1104,S2_1_C2_1304,ASC 5 Provider Number,S200001,01304,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1105,S2_1_C2_1305,ASC 6 Provider Number,S200001,01305,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1106,S2_1_C2_1306,ASC 7 Provider Number,S200001,01306,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1107,S2_1_C2_1307,ASC 8 Provider Number,S200001,01307,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1108,S2_1_C2_1308,ASC 9 Provider Number,S200001,01308,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1109,S2_1_C2_1309,ASC 10 Provider Number,S200001,01309,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_12,S2_1_C2_14,Hospice 1 Provider Number,S200001,01400,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1201,S2_1_C2_1401,Hospice 2 Provider Number,S200001,01401,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1202,S2_1_C2_1402,Hospice 3 Provider Number,S200001,01402,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1203,S2_1_C2_1403,Hospice 4 Provider Number,S200001,01403,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1204,S2_1_C2_1404,Hospice 5 Provider Number,S200001,01404,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1205,S2_1_C2_1405,Hospice 6 Provider Number,S200001,01405,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_14,S2_1_C2_15,RHC 1 Provider Number,S200001,01500,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1401,S2_1_C2_1501,RHC 2 Provider Number,S200001,01501,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1402,S2_1_C2_1502,RHC 3 Provider Number,S200001,01502,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1403,S2_1_C2_1503,RHC 4 Provider Number,S200001,01503,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1404,S2_1_C2_1504,RHC 5 Provider Number,S200001,01504,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1405,S2_1_C2_1505,RHC 6 Provider Number,S200001,01505,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1406,S2_1_C2_1506,RHC 7 Provider Number,S200001,01506,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1407,S2_1_C2_1507,RHC 8 Provider Number,S200001,01507,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1408,S2_1_C2_1508,RHC 9 Provider Number,S200001,01508,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1409,S2_1_C2_1509,RHC 10 Provider Number,S200001,01509,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1435,S2_1_C2_1510,RHC 11 Provider Number,S200001,01510,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1436,S2_1_C2_1511,RHC 12 Provider Number,S200001,01511,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1437,S2_1_C2_1512,RHC 13 Provider Number,S200001,01512,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1438,S2_1_C2_1513,RHC 14 Provider Number,S200001,01513,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1439,S2_1_C2_1514,RHC 15 Provider Number,S200001,01514,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1440,S2_1_C2_1515,RHC 16 Provider Number,S200001,01515,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1441,S2_1_C2_1516,RHC 17 Provider Number,S200001,01516,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1442,S2_1_C2_1517,RHC 18 Provider Number,S200001,01517,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1443,S2_1_C2_1518,RHC 19 Provider Number,S200001,01518,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1444,S2_1_C2_1519,RHC 20 Provider Number,S200001,01519,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1445,S2_1_C2_1520,RHC 21 Provider Number,S200001,01520,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1446,S2_1_C2_1521,RHC 22 Provider Number,S200001,01521,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1447,S2_1_C2_1522,RHC 23 Provider Number,S200001,01522,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1448,S2_1_C2_1523,RHC 24 Provider Number,S200001,01523,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1449,S2_1_C2_1524,RHC 25 Provider Number,S200001,01524,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1410,S2_1_C2_16,FQHC 1 Provider Number,S200001,01600,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1411,S2_1_C2_1601,FQHC 2 Provider Number,S200001,01601,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1412,S2_1_C2_1602,FQHC 3 Provider Number,S200001,01602,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1413,S2_1_C2_1603,FQHC 4 Provider Number,S200001,01603,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1414,S2_1_C2_1604,FQHC 5 Provider Number,S200001,01604,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1415,S2_1_C2_1605,FQHC 6 Provider Number,S200001,01605,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1416,S2_1_C2_1606,FQHC 7 Provider Number,S200001,01606,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1417,S2_1_C2_1607,FQHC 8 Provider Number,S200001,01607,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1418,S2_1_C2_1608,FQHC 9 Provider Number,S200001,01608,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1419,S2_1_C2_1609,FQHC 10 Provider Number,S200001,01609,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1420,S2_1_C2_1610,FQHC 11 Provider Number,S200001,01610,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1421,S2_1_C2_1611,FQHC 12 Provider Number,S200001,01611,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1422,S2_1_C2_1612,FQHC 13 Provider Number,S200001,01612,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1423,S2_1_C2_1613,FQHC 14 Provider Number,S200001,01613,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1424,S2_1_C2_1614,FQHC 15 Provider Number,S200001,01614,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1425,S2_1_C2_1615,FQHC 16 Provider Number,S200001,01615,00200
